剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
春天里,2017,王飞,梁振华 / 刘汀 / 张辉任,谷智鑫 / 王力可 / 李雨轩 / 管轩 / 郝平 / 唐夏娃 / 王子子 / 马维福 / 董博睿 / 游涌 / 门东毅 / 翟艺舒 / 易勇 / 黄锶骐 / 郭凯敏 / 方青卓 / 高强 / 王辉 / 夏星 / 张浩庭 / 高圣函 / 贺镪 / 田淼 / 蒋君 / 谢诗煜 / 王文冲 / 王岗 / 张宝龙 / 冯硕 / 欧阳言璞,剧情,中国大陆,32,45,4.7,263
继承人,2017,阎建钢,段祺华,刘恺威 / 蒋欣 / 刘松仁 / 吴冕 / 赵峥 / 张译文 / 徐好 / 李颖 / 张芝华 / 王茜 / 朱亚英 / 洛葳,剧情 / 爱情,中国大陆,45,45,4.7,3471
国士无双黄飞鸿,2017,蒋家骏 / 綦小卉 / 蓝志伟,张炭,郑恺 / 郭碧婷 / 钟楚曦 / 吕良伟 / 海陆 / 经超 / 谈莉娜 / 甘露 / 邬立朋 / 张殿伦 / 李浩轩 / 胡森 / 张植绿 / 张天阳 / 金梦杨 / 马莉 / 张大宝,剧情 / 古装,中国大陆,40,45,4.7,456
娘亲舅大,2017,习辛,,黄曼 / 张铎 / 刘冰_ / 唐曾 / 王丽云,爱情 / 家庭,中国大陆,57,45,4.7,1111
守护丽人,2017,袁英明,邹越,李小璐 / 张译 / 李智楠 / 江雪 / 吴谨言 / 陈昌旷 / 李颖 / 姜震昊 / 叶思淼 / 彭玉 / 孙桂田 / 吴岱融 / 章申 / 傅艺伟,剧情 / 爱情,中国大陆,47,45,4.7,5617
废柴兄弟5：泰爽,2017,尹琪,尹琪,孙艺洲 / 张海宇 / 高艺涵 / 李又麟 / 张梦露 / 崔笛 / 张馨元,喜剧,中国大陆,24,20,4.6,2075
盲约,2017,柯翰辰,如萍 / 胡宁远,蒋欣 / 陆毅 / 李雅男 / 王汀 / 冉旭 / 宋晨 / 杨安琪 / 郭鑫 / 郑佩佩 / 恬妞 / 施羽 / 吕莹娜 / 乔红 / 纪宁,剧情 / 喜剧 / 爱情,中国大陆,52,45,4.6,3831
约会恋爱究竟是什么,2017,田晓威,古泽良太 / 田晓威 / 朱珠,郭晓东 / 王姿允 / 王伟忠 / 樊野 / 朱梦瑶 / 李泓良,喜剧 / 爱情,中国大陆,20,30,4.5,2011
有毒,2017,李双武,姜毛毛,陈腾跃 / 刘美圻 / 郑奇 / 宁显周,剧情,中国大陆,12,20,4.5,194
秦时丽人明月心,2017,刘新,陈慧如 / 朱先中,迪丽热巴 / 张彬彬 / 李泰 / 刘畅 / 张璇 / 蒙玉立 / 王汀 / 邱意浓,剧情 / 爱情 / 古装,中国大陆,48,45,4.5,25242
繁星四月,2017,黄伟杰,刘芳,戚薇 / 吴奇隆 / 左航 / 任言恺 / 邓萃雯 / 王霏 / 卫莱 / 吴华新 / 蔚雨芯 / 赵奕欢 / 王彩莉 / 张莉莎 / 侯晨晨 / 李祥祥 / 李佳颖 / 岳跃利,剧情 / 爱情,中国大陆,42,45,4.5,2167
人间至味是清欢,2017,陈铭章 / 吴强,郭爽 / 冯媛,佟大为 / 陈乔恩 / 王一博 / 林鹏 / 朱刚日尧 / 赖婧 / 祝雨辛 / 谢帅,剧情 / 爱情,中国大陆,45,45,4.5,8188
幸福照相馆,2017,王义明,高博,林永健 / 左小青 / 王婉娟 / 徐佳,剧情 / 爱情,中国大陆,40,45,4.4,273
守卫者·浮出水面,2017,潘镜丞 / 韩博文,王冰 / 吴竞 / 刘涛,靳东 / 韩雨芹 / 王梓权 / 刘立 / 吴谨言 / 高爽 / 焦体怡 / 李依伊 / 李昊臻 / 张杨智子 / 庄庆宁 / 樊昱君 / 齐奎 / 凌云 / 李洪涛 / 杜宁林 / 严俊里 / 张卫 / 郭进尧 / 萧浩冉 / 刘沙 / 李智 / 彭宇欣 / 张晓 / 仲小印,剧情 / 悬疑,中国大陆,30,45,4.4,6569
将婚姻进行到底,2017,张晓光,张莉,任重 / 万茜 / 苏岩 / 韩青 / 王策 / 谢园 / 方安娜 / 徐敏 / 冯鹏,剧情 / 家庭,中国大陆,40,45,4.4,648
爱人·同志,2017,毛卫宁,唐栋 / 蒲逊,王雷 / 李小萌 / 罗昱_ / 王鹏凯 / 周奇奇 / 张会中 / 牛飘 / 何明翰 / 任正斌 / 张亮,剧情 / 战争,中国大陆,35,45,4.3,764
奇星记之鲜衣怒马少年时,2017,黄祖权,张璐 / 包尔沁 / 杨秀丽 / 高晓曦 / 陈宏,吴磊 / 陈翔 / 郑合惠子 / 郝劭文 / 张予曦 / 何美钿 / 张峻宁 / 吕颂贤 / 邱心志 / 雪村 / 王天泽 / 房飞霖,剧情 / 奇幻 / 古装,中国大陆,51,45,4.3,2070
复合大师,2017,陈畅 / 于中中,陈成东 / 拉结 / 江霞 / 秦梦茜 / 张彦,贾乃亮 / 王晓晨 / 代乐乐 / 邓超 / 闫妮 / 陈赫 / 梁超 / 张超 / 吴亚衡 / 屈菁菁 / 李茂 / 谢楠 / 王帅帅 / 高鑫 / 王姬 / 毕彦君 / 赵曼竹 / 杨紫嫣 / 李解 / 张志忠 / 田雷 / 许可嘉,喜剧 / 爱情,中国大陆,46,45,4.3,3793
夏至未至,2017,韩洋,刘飞 / 刘辰光 / 施适 / 郭敬明,陈学冬 / 郑爽 / 白敬亭 / 夏梓桐 / 柴碧云 / 庞瀚辰 / 王玉雯 / 张超 / 郑合惠子 / 黄晋琨 / 何佳宣 / 张寥 / 宋涛 / 倪景阳 / 商侃 / 李现 / 胡一天,剧情 / 爱情,中国大陆,48,45,4.3,32114
苦乐村官,2017,白永成,曹锐 / 于星琛 / 徐国红,钱泳辰 / 孙嘉璐 / 斯琴高娃 / 刘威 / 杨昆 / 王翔弘,剧情,中国大陆,30,45,4.2,230
轩辕剑之汉之云,2017,潘文杰 / 金沙 / 余_,耶马 / 高梦丹 / 梁彦龙 / 李悦嘉,张云龙 / 于朦胧 / 关晓彤 / 张佳宁 / 鞠婧_ / 高伟光 / 李宗霖 / 王瑞子 / 代斯 / 彦希 / 张峻鸣 / 高泰宇 / 吴旭东 / 朱嘉琦 / 唐国忠 / 单思涵 / 赵振廷 / 赵文_ / 周海媚 / 甘婷婷 / 马德钟 / 卢星宇 / 何中华 / 傅程鹏 / 傅天骄 / 杨柳 / 刘洲成 / 陈文波,剧情 / 奇幻 / 古装,中国大陆,58,45,4.2,5469
