演员,平均分,部数
杨万达,9.0,1
高果,9.0,1
于京京,9.0,1
刘准,9.0,1
鹿昊,9.0,1
刘宣,9.0,1
张兆忠,9.0,1
廖东力,9.0,1
李胜强,9.0,1
杨凯迪,9.0,1
岳士涵,9.0,1
吴文_,9.0,1
周军,9.0,1
高梓刚,9.0,1
朱军,9.0,1
何勇生,9.0,1
赵波,9.0,1
王剑明,9.0,1
魏华,9.0,1
朱梓郡,9.0,1
曾子建,9.0,1
王运生,9.0,1
闫沛,9.0,1
雪菲,9.0,1
王嘉浩,9.0,1
刘天蔚,9.0,1
张栋栋,9.0,1
郭旭,9.0,1
张柏鑫,9.0,2
刘意,9.0,1
曹永祥,9.0,1
姚长安,9.0,1
朱祺隆,9.0,1
季天赋,9.0,1
张延平,9.0,1
李晨雨,9.0,1
陈嫣嫣,9.0,1
王超荧,9.0,1
林佳妮,9.0,1
蒲心玉,9.0,1
陈斌,9.0,1
徐立起,9.0,1
曾凡强,9.0,1
周萍,9.0,1
凌琳,9.0,1
黄亚波,9.0,1
靳鹏,9.0,1
杜明明,9.0,1
穆怀伟,9.0,1
谢荐,9.0,1
马小矛,9.0,1
刘大印,9.0,1
傅丽云,9.0,1
_芳,9.0,1
张美瑶,9.0,2
石乃文,9.0,1
尤秋兴,9.0,1
史俊威,9.0,1
谢馨仪,9.0,1
龚钰祺,9.0,1
吴青峰,9.0,1
刘家凯,9.0,1
何景扬,9.0,1
陈靖婕,9.0,1
陈大中,9.0,1
邓志鸿,9.0,1
白穆,9.0,1
解月,9.0,1
张谊,9.0,1
胡珊珊,9.0,1
刘挺,9.0,1
关德俊,9.0,1
李小雷,9.0,1
白杨,9.0,1
韩夫,9.0,1
汤国明,9.0,1
赵学贤,9.0,1
朱光有,9.0,1
张慧兰,9.0,1
关一,9.0,1
刘建仁,9.0,1
刘慧逸,9.0,1
唐春新,9.0,1
王晓玲,9.0,1
牟丽燕,9.0,1
刘肇烨,9.0,1
许陈俊嘉,9.0,1
凌峰,9.0,1
张洪铭,9.0,1
黄强,9.0,1
张永丰,9.0,1
邢峰,9.0,1
梁西,9.0,1
李迎春,9.0,1
张书田,9.0,1
刘明,9.0,1
王凡奇,9.0,1
李虎诚,9.0,1
于洪涛,9.0,1
王音,9.0,1
徐利,9.0,1
乌兰其其格,9.0,1
周佳北,9.0,1
李山,9.0,1
杨强,9.0,1
麦基,9.0,1
罗学军,9.0,1
陈睿,9.0,1
曾坤,9.0,1
田玉岐,9.0,1
王一峰,9.0,1
王青山,8.95,2
梁达,8.95,2
吴晓东,8.95,4
杨惠礼,8.9,1
任宝成,8.9,1
郑建民,8.9,1
黄子千,8.9,1
李国立,8.9,1
黄湘阳,8.9,1
武晔,8.9,1
田松,8.9,1
孙万清,8.9,1
张元昌,8.9,1
尼格木图,8.9,1
盛才新,8.9,1
李可,8.9,1
李桂生,8.9,1
康垂家,8.9,1
李克伟,8.9,2
党永德,8.9,1
黄忠,8.9,1
金风,8.9,1
绿杨,8.9,1
张樵侬,8.9,1
王汝刚,8.9,1
杨华生,8.9,1
赵静蓉,8.9,1
方世强,8.9,1
曾保华,8.9,1
汪丽虹,8.9,1
曹春萱,8.9,1
张新科,8.9,1
龚航宇,8.9,1
李雨农,8.9,1
许东,8.9,1
李潭,8.9,1
侯涛,8.9,1
陈昱,8.9,1
刘晋,8.9,1
赵文亮,8.9,1
徐祖明,8.9,1
黄永铸,8.9,1
陈志刚,8.9,1
肖淑丽,8.9,1
王嘉鑫,8.9,1
高安义,8.9,1
小米,8.9,1
郭阳,8.9,1
徐恩凡,8.9,1
康健,8.9,1
陈敬,8.9,1
王峰,8.9,1
袁慧敏,8.9,1
章颖智,8.9,1
王木犊,8.9,1
蒋楠,8.9,1
殷宗杰,8.9,1
王谭,8.9,1
李荣君,8.9,1
田江水,8.9,1
王立敏,8.9,1
马红,8.9,1
孙承正,8.9,1
徐晓君,8.9,1
曹世平,8.9,1
李芬,8.9,1
