剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
小李飞刀,1999,袁和平 / 鲁晓威 / 李翰韬,陈文贵 / 朱羽,焦恩俊 / 贾静雯 / 俞飞鸿 / 萧蔷 / 吴京 / 范冰冰 / 林利 / 郑佳欣 / 陈凯 / 高雄 / 任泉,武侠 / 古装,中国大陆 / 台湾,40,45,7.4,36341
绝代双骄,1999,李国立,秋婷,林志颖 / 苏有朋 / 陈德容 / 李绮虹 / 郑嘉颖 / 林瑞阳 / 于莉 / 李立群 / 张瑞竹,剧情 / 武侠 / 古装,中国大陆 / 台湾,40,,7.3,32955
新少林寺,1999,袁和平 / 张鑫炎 / 张之亮 / 鞠觉亮,施扬平 / 孙悦遐 / 李洪洲 / 李树型,樊少皇 / 吴京 / 朱茵 / 钱小豪,动作 / 历史 / 武侠 / 古装,中国大陆 / 台湾,20,,6.9,540
达摩祖师,1999,蒲腾晋 / 袁英明,刘莹 / 赵玉岗 / 林慧津,吕良伟 / 俞小凡 / 翁虹 / 杨丽菁 / 陈明真 / 杨恭如 / 蒋勤勤 / 范冰冰 / 孙莉 / 李小冉 / 王彤 / 刘思彤 / 连静雯 / 屈中恒,剧情 / 奇幻 / 武侠 / 古装,中国大陆 / 台湾,40,50,6.3,2409
家有仙妻2,1999,伍宗德,张凤鸣,萧蔷 / 赵本山 / 那英 / 宫雪花 / 孙兴 / 谢祖武 / 戈伟如 / 李又麟,剧情 / 喜剧 / 爱情 / 家庭,中国大陆 / 台湾,40,40,7.1,2217
球爱情缘,2000,,,陶大宇 / 陈海恒 / 谢可可,爱情,中国大陆 / 香港,30,,7.1,44
紫荆勋章,2000,潘小扬,,杨恭如 / 何政军 / 曾江 / 姚橹 / 王思懿,剧情 / 爱情,中国大陆 / 香港,20,45,7,63
绝命鸳鸯,2000,李翰韬 / 杨志坚,古龙,吴京 / 季芹 / 陈俊生 / 张恒 / 蔡依蕴 / 陈志朋,剧情 / 古装,中国大陆 / 台湾,30,,6.8,576
包公出巡之威震金陵,2000,金鳌勋,韦辛,金超群 / 焦恩俊 / 范鸿轩 / 唐国强,剧情 / 传记 / 古装,中国大陆 / 台湾,10,45,6.7,62
包公出巡之龙凤肚兜,2000,王玫,金超群 / 韦辛,金超群 / 焦恩俊 / 张铁林 / 范鸿轩 / 夏雨,动作 / 古装,中国大陆 / 台湾,10,40,6.6,57
侠女闯天关,2000,朱延平,江佩玲,赵薇 / 吴奇隆 / 顾宝明 / 郝劭文 / 曹骏 / 岳跃利 / 刘孜,剧情 / 喜剧 / 动作,中国大陆 / 香港 / 台湾,31,40,6.4,14126
天地传说之鱼美人,2000,卫翰韬 / 郑基成 / 黄伟明,秋婷,徐怀钰 / 郭晋安 / 张智尧 / 孙莉 / 郑嘉颖 / 梁家仁 / 何嘉文 / 杨_娜 / 刘牧 / 葛蕾 / 姜鸿,爱情 / 奇幻 / 古装,香港 / 台湾,20,40,7.3,16461
小宝与康熙,2000,潘文杰 / 梁德华,金庸,张卫健 / 林心如 / 朱茵 / 舒淇 / 陈法蓉 / 吴辰君 / 张茜 / 麦家琪 / 谭耀文 / 郑伊健 / 吴孟达 / 梁家仁 / 徐锦江 / 黄一飞 / 卓凡,剧情 / 喜剧 / 爱情 / 古装,香港 / 台湾,42,45,7,16627
机灵小不懂,2001,马精武 / 靳德茂,,张卫健 / 李冰冰 / 聂远 / 何美钿 / 罗家英 / 马精武 / 薛佳凝 / 李进荣 / 王元禄 / 薛文成 / 谭建昌 / 沈晓海 / 黄海冰 / 曹俊 / 黄_,剧情 / 喜剧 / 古装,中国大陆 / 香港,30,45,7.3,27505
少年张三丰,2001,梁德龙,李卫聪,张卫健 / 李冰冰 / 李小璐 / 苏有朋 / 林心如 / 严屹宽 / 王艳 / 张铁林 / 胡静 / 牛萌萌 / 杜玉明,动作 / 爱情 / 武侠 / 古装,中国大陆 / 台湾,40,,7.1,28220
情深深雨__,2001,李平,琼瑶,赵薇 / 古巨基 / 林心如 / 苏有朋 / 寇振海 / 李钰 / 高鑫 / 王琳 / 徐幸 / 孙俪,剧情 / 爱情 / 音乐 / 战争,中国大陆 / 台湾,46,40,7.1,65204
九岁县太爷,2001,黄海刚,贺恒祥,曹骏 / 释小龙 / 吴孟达 / 曹颖 / 王光辉 / 李岚 / 李志舆 / 高宝宝 / 方子哥 / 沈保平 / 李大强,剧情 / 喜剧,中国大陆 / 香港,35,55,6.4,11142
四大名捕斗将军,2001,吴耀权 / 刘海波 / 张敬业,赖汉初,何润东 / 黄少祺 / 沈傲君 / 陈怡蓉 / 聂远,剧情 / 古装,中国大陆 / 台湾,40,,6,1639
多情刀客无情刀短刀行,2001,鞠国亮 / 浦腾晋,郭筝,张卫健 / 刘玉婷 / 林小楼,喜剧 / 动作 / 武侠 / 古装,香港 / 台湾,16,45,7.9,672
武状元苏灿,2001,杨绍鸿,,谢君豪 / 罗家英 / 何宝生 / 张茜 / 谢娜,喜剧 / 爱情 / 古装,香港 / 台湾,20,,7.3,70
半生缘,2002,胡雪杨,张爱玲 / 胡_,林心如 / 蒋勤勤 / 谭耀文 / 李立群 / 胡可 / 常铖 / 邢岷山 / 刘小锋,剧情 / 爱情,中国大陆 / 台湾,35,48,7,14916
大醉侠,2002,Yan Ying Hong,黄金苍 / 林月芳,赵文卓 / 杨恭如 / 莫少聪 / 杨若兮 / 贾一平 / 梁静 / 董晓燕 / 李勇勇 / 于月仙 / 叮当,剧情 / 爱情 / 奇幻 / 武侠 / 古装,中国大陆 / 香港,40,45,6.6,1380
七品钦差刘罗锅,2002,高建国,路远,陈小春 / 刘小锋 / 徐少强 / 涓子 / 叶童,剧情 / 喜剧 / 历史 / 武侠 / 古装,中国大陆 / 香港,40,40,6.4,223
E网情深,2002,李敬华,陈心豪,陆毅 / 陈浩民 / 佟大为 / 蒋虹 / 郑嘉颖 / 叶璇,剧情,中国大陆 / 香港,20,,6.1,3292
齐天大圣孙悟空,2002,冯柏源 / 黄伟明 / 李文龙,萧若元 / 陈文强 / 叶广荫,张卫健 / 梁汉文 / 李灿森 / 葛民辉 / 杨恭如 / 蔡卓妍 / 钟欣潼 / 谢霆锋 / 林志颖 / 徐熙媛 / 袁咏仪 / 郑秀文 / 徐怀钰,喜剧 / 奇幻,香港 / 台湾,40,45,6.8,11276
倚天屠龙记,2003,杨韬 / 赖水清,陈兵 / 张敬 / 韦辛,苏有朋 / 贾静雯 / 高圆圆 / 张国立 / 张铁林 / 陶虹 / 徐锦江 / 王刚 / 郭妃丽 / 释小龙 / 梁天 / 董晓燕 / 陈紫函 / 阎青妤 / 严敏裘 / 陈秀丽 / 鲍逸琳 / 林静 / 袁苑 / 姬麒麟 / 刘长生 / 于文仲 / 杜玉明 / 韩夫一 / 刘恒宇 / 王岗 / 叶静 / 晋松 / 詹小楠 / 刘思彤 / 李庆祥 / 郝柏杰 / 沈保平,武侠 / 古装,中国大陆 / 香港 / 台湾,40,48,8.1,51948
黑雾,2003,庞好,张成功,王志文 / 陶泽如 / 刘威 / 张晓林 / 田海蓉 / 吕凉 / 孔维,剧情,中国大陆 / 香港,24,40,7.4,165
飞刀又见飞刀,2003,申学兵,关展博 / 陈丽华,张智霖 / 林心如 / 董洁 / 高鑫 / 寇振海 / 岳跃利 / 孙兴 / 郑国霖 / 李学庆 / 刘卫华 / 韩雪,剧情 / 动作 / 爱情,中国大陆 / 台湾,43,45,6.8,3689
奔月,2003,潘文杰,阮少娜,范文芳 / 李铭顺 / 温峥嵘 / 连凯 / 吴家丽 / 郑安伦 / 刘威 / 王绘春 / 郑则仕 / 徐锦江 / 李进荣,剧情 / 爱情 / 奇幻,中国大陆 / 台湾,30,45,6.5,1658
无盐女,2003,胡香兰 / 文清,王少波,潘虹 / 何苗 / 邱心志 / 潘仪君 / 沈晓海 / 斯琴高娃 / 许还山 / 徐敏 / 高峰 / 葛蕾 / 方圆 / 夏志祥 / 石亚军 / 钟鑫培 / 夏泰立 / 袁岷 / 蔡晶 / 蒋林静,爱情 / 古装,中国大陆 / 台湾,40,,6.3,801
