剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
轮流传,1980,甘国亮,甘国亮 / 何确凉 / 方令正 / 陈连心,郑少秋 / 李司棋 / 郑裕玲 / 叶德娴 / 林子祥 / 石修 / 陈百强 / 林嘉华 / 黄锦_,剧情,香港,28,45,8.7,63
边城浪子,1989,王天林,李洁庄,张兆辉 / 吴岱融 / 谢宁 / 曾华倩 / 梁佩玲 / 高妙思 / 欧瑞伟,武侠,香港,20,43,8.7,1129
新同居关系,1995,岑国荣,,吴镇宇 / 郭晋安 / 陈妙瑛 / 袁洁莹,剧情,香港,13,46,8.7,512
学堂威龙,1992,戚其义,周旭明,卢海鹏 / 吴浣仪 / 莫家尧 / 万绮雯,剧情,香港,20,40,8.7,513
八时入席,2016,邵丽琼 / 罗镇岳,马俊萦 / 冼翠贞,毛舜筠 / 黎耀祥 / 陈国邦 / 钟景辉 / 郭少芸 / 汤盈盈 / 胡渭康 / 马贯东 / 李天翔 / 黄秋生 / 何启南,喜剧,香港,200,30,8.7,1823
澳门街,2000,徐遇安 / 钟澍佳,陈宝华,张智霖 / 佘诗曼 / 薛家燕 / 马浚伟 / 唐文龙 / 郭锋 / 姚乐怡,剧情 / 爱情,香港,20,43,8.7,9290
义不容情,1989,韦家辉,邓特希 / 陈惠妍,黄日华 / 温兆伦 / 刘嘉玲 / 邵美琪,剧情,香港,30,70,8.7,6553
栋笃神探,2004,徐正康,蔡婷婷 / 林少枝,黄子华 / 蔡少芬 / 魏骏杰 / 蒋志光 / 韩君婷 / 雪妮,喜剧 / 犯罪,香港,25,40,8.7,15309
我和僵尸有个约会1,1998,冼志伟,陈十三 / 李绮华 / 李淋漪,尹天照 / 杨恭如 / 万绮雯 / 陈启泰 / 杜汶泽 / 吴廷烨 / 张国权 / 黄树棠 / 张文慈 / 梁碧芝,爱情 / 悬疑,香港,35,45,8.7,14866
我和僵尸有个约会2,2000,吴锦源,陈十三,尹天照 / 万绮雯 / 杨恭如 / 陈启泰 / 杜汶泽 / 谢君豪 / 任达华 / 张文慈,动作 / 爱情 / 科幻,香港,43,45,8.7,9740
鹿鼎记,1998,李添胜,金庸 / 陈静仪,陈小春 / 马浚伟 / 刘玉翠 / 梁小冰 / 徐濠萦 / 陈少霞 / 邝文_ / 王伟 / 冯晓文 / 夏韶声 / 谷峰 / 鲍方,剧情 / 喜剧 / 动作 / 历史 / 冒险,香港,45,45,8.7,68456
创世纪2：天地有情,2000,戚其义,欧冠瑛 / 周旭明 / 司徒锦源,罗嘉良 / 郭晋安 / 陈锦鸿 / 古天乐 / 吴奇隆 / 蔡少芬 / 陈慧珊 / 汪明荃 / 秦沛 / 刘恺威 / 叶佩雯 / 惠英红 / 成奎安,剧情,香港,56,43,8.7,6659
射雕英雄传,1994,李添胜,金庸,张智霖 / 朱茵 / 罗嘉良 / 关宝慧 / 骆应钧 / 黎耀祥 / 刘丹 / 林伟 / 朱铁和,武侠,香港,35,40,8.7,25474
