剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
琅琊榜,2015,孔笙 / 李雪,海宴,胡歌 / 刘涛 / 王凯 / 陈龙 / 黄维德 / 靳东 / 高鑫 / 张棪琰 / 张龄心 / 王鸥 / 周奇奇 / 吴磊 / 张晓谦 / 郑毓芝  / 丁勇岱 / 王劲松 / 刘奕君 / 刘敏涛 / 程皓枫 / 郭晓然 / 匡牧野 / 陈丽娜 / 宁文彤 / 杨雨婷 / 谭希和 / 方晓莉 / 张哲瀚 / 钟卫华 / 张雨剑 / 乔欣 / 王永泉 / 魏伟 / 王宏 / 赵一龙 / 卢杉,剧情 / 古装,中国大陆,54,45,9.2,256604
无限生机,2005,徐庆东,娅子 / 徐君东 / 沙颂 / 马晓勇 / 程彤 / 万军 / 张建 / 辛志海 / 刘国彤,王茜 / 刘钧 / 王挺 / 陈捷 / 隋兰 / 田牧宸 / 刘淑敏 / 赵中伟 / 张秾 / 张少华 / 李勤勤 / 姬海鹰 / 连奕名 / 周莉 / 谢园 / 申军谊 / 吕德亮 / 杜岩 / 欧阳江月 / 李丹军 / 张登平 / 梅玫 / 曾培 / 黄荣 / 舒淼 / 才艺 / 白云,剧情,中国大陆,36,40,9.2,1767
士兵突击,2006,康洪雷,兰晓龙,王宝强 / 陈思诚 / 段奕宏 / 张译 / 邢佳栋 / 张国强 / 李晨 / 范雷 / 高峰,剧情,中国大陆,30,45,9.2,74927
红色,2014,杨磊,徐兵,陶虹 / 张鲁一 / 周一围 / 李天柱 / 谢园 / 林栋甫 / 刘敏 / 李诚儒 / 林威 / 赵锦焘 / 吴冕 / 洪剑涛 / 王迅 / 姚安濂 / 高岛真一 / 赵健,剧情 / 战争,中国大陆,48,40,9.2,63243
潜伏,2009,姜伟 / 付玮,姜伟 / 林黎胜 / 龙一,孙红雷 / 姚晨 / 沈傲君 / 祖锋 / 冯恩鹤 / 吴刚 / 朱杰 / 范雨林 / 王小毅,剧情 / 爱情,中国大陆,30,40,9.2,86352
我的团长我的团,2009,康洪雷,兰晓龙,段奕宏 / 张译 / 张国强 / 邢佳栋 / 李晨 / 曹海涛 / 刘威葳 / 高峰 / 罗京民 / 王往 / 王大治 / 范雷 / 王迅 / 王东栋 / 刘天佐 / 谢孟伟 / 左腾云 / 赵志君 / 王大奇 / 袁菲 / 江奇翰 / 李泓良 / 杜建桥 / 张衡平 / 宿宇杰 / 马云 / 何杰 / 白恩 / 柯志凌 / 曹操 / 吴有才 / 哈斯其其格 / 史航 / 邓宝 / 陈思诚 / 张衍 / 李京 / 杨在景 / 李博 / 刁海明 / 兰晓龙,历史 / 战争,中国大陆,43,45,9.2,40503
地下交通站,2006,英达,英壮,吴樾 / 鲍大志 / 刘金山 / 英壮 / 赵卫东 / 贾康熙 / 熊伟 / 高亮 / 颜冠英 / 赵铁人 / 陈松 / 王子瑜 / 金昭,喜剧,中国大陆,28,56,9.2,9112
围城,1990,黄蜀芹,孙继飞 / 屠传德 / 黄蜀芹,陈道明 / 英达 / 吕丽萍 / 葛优 / 李媛媛 / 史兰芽 / 张建亚 / 英若诚 / 吴贻弓 / 于慧 / 盖丽丽 / 张文蓉 / 战士强 / 于本正 / 沙叶新 / 吕凉 / 周志俊 / 梁庆刚 / 杨涛 / 徐金金 / 顾也鲁 / 戴兆安 / 李天济 / 宋忆宁 / 任广智 / 王志华 / 倪以临 / 吴云芳 / 刘昌伟 / 曾丹 / 康群智 / 曹秋根 / 谢洪俊 / 王又龙 / 兰之光 / 朱申嘉 / 袁之远 / 张芝华 / 杨仲文 / 宋宁奇 / 刘芳 / 申怀琪 / 筱翔飞 / 沈星浩 / 夏晓昀 / 钱青青 / 阮丽丽 / 王干一 / 舒逸宁 / 麦墨瑞 / 陆晖 / 陈增无 / 郑国础 / 糜子德 / 詹更新 / 康志新 / 伊娜珂 / 王玲 / 林丹青 / 仲永清 / 安德宝 / 张莺 / 金慧珠 / 吴天戈,剧情,中国大陆,10,45,9.2,17078
茶馆,2010,何群,叶广芩 / 杨国强,陈宝国 / 梁天 / 谢钢 / 周里京 / 石小满 / 张惠中 / 崔杰 / 马恩然,剧情,中国大陆,39,42,9.2,7690
贞观之治,2006,张建亚,阿城 / 孟憲實,马跃 / 苗圃 / 马精武 / 马少骅 / 陆剑民 / 金士杰,剧情 / 历史,中国大陆,50,46,9.2,5809
