剧名,年份,导演,编剧,主演,类型,制片国家/地区,集数,单集片长/分钟,豆瓣评分,评价人数/人
婆家娘家,2005,斗琪,,李琳 / 彭玉 / 王丽云,,中国大陆,33,,6.5,40
燃烧的玫瑰,2009,小岛,刘勇 / 王倩,贾一平 / 张歆艺 / 王诗槐,剧情,中国大陆,25,40,6.5,41
义者无敌,2013,宏胤,石小克,陈月末 / 田中千绘 / 陈宝国 / 刘桦 / 王梓诺 / 韩童生 / 张志坚,剧情 / 战争,中国大陆,32,,6.5,50
日出东方,2001,王进 / 马润生,黄亚洲,王霙 / 孔祥玉,剧情,中国大陆,20,,6.5,45
不能没有你,2005,马功伟,晓伊 / 陈小抗,侯勇 / 刘之冰 / 潘雨辰,,中国大陆,24,,6.5,33
男儿本色,2009,曾丽珍,吴孟璋 / 张希,刘烨 / 罗嘉良 / 徐正溪 / 王雅捷 / 杨雪 / 江若琳 / 刘梓妍,剧情,中国大陆,26,,6.5,216
伤城之恋,2008,蒋家骏,周涌,秦岚 / 霍建华 / 于毅 / 钱泳辰 / 边潇潇,剧情 / 爱情,中国大陆,20,,6.5,267
大商道,2012,,,张嘉译 / 张延 / 柴鸥 / 王黎雯 / 赵龙豪,剧情,中国大陆,42,45,6.5,51
索玛花开,2017,王伟民,王伟民,于晓光 / 王力可,剧情,中国大陆,32,45,6.5,200
寒秋,2006,马鲁剑,龚桂华,王子文 / 赵毅 / 陈楚翰 / 王凯,爱情,中国大陆,24,,6.5,101
槑头槑脑2,2017,付滃,李海兵,宋晓峰 / 霍云龙 / 程野 / 燕飞 / 唐娜 / 田娃 / 曹桐睿,喜剧,中国大陆,20,27,6.5,292
排球女将,2008,赵浚凯,娅子,于娜 / 王珞丹 / 连奕名 / 成泰燊 / 刘沙 / 孙熙 / 杜志国 / 郭昊伦,运动,中国大陆,29,,6.5,115
大爱无敌,2009,周耀杰,马广源,贾静雯 / 吴秀波 / 韩青 / 潘星谊 / 李勤勤 / 李煜 / 申军谊 / 刘恩佑 / 娄宇健 / 戴江 / 张子枫,剧情 / 爱情,中国大陆,25,,6.5,288
名校,2008,安建,张华峰,马跃 / 张仙衡 / 王茜华,剧情,中国大陆,22,,6.5,121
江阴要塞,2009,王伟民,刘星,刘涛 / 韩栋 / 韦玮 / 李庆祥 / 许榕真,剧情,中国大陆,24,40,6.5,122
